monster_external_id,section,sort_order,name_rusloc,name_engloc,kind,recharge_min,recharge_max,description_rusloc,description_engloc,attack_type,attack_bonus,reach_ft,range_ft,range_long_ft,save_ability,save_dc,feature_key
21152,reactions,0,Плавное падение,Feather Fall,feature,,,Плавное падение (1/день) . Ааракокра сотворяет Падение пёрышком при наступлении условия заклинания и использует заклинательную характеристику из действия Заклинания.,,,,,,,,,21152:reactions:0
21153,actions,0,Когти,Talon,attack,,,"Когти . Бросок рукопашной атаки : +4 , досягаемость 5 футов Попадание : 4 ( 1к4+2 ) Рубящего урона или 9 ( 3к4+2 ) Рубящего урона, если ааракокра переместился как минимум на 30 футов по прямой к цели непосредственно перед попаданием.",,melee,4,5,,,,,21153:actions:0
21153,actions,1,Пилум ветра,Wind Javelin,attack,,,"Пилум ветра . Бросок рукопашной или дальнобойной атаки : +4 , досягаемость 5 футов или дистанция 30/120футов Попадание : 5 ( 1к6+2 ) Колющего урона плюс 2( 1к4 ) урона Звуком. Промах или попадание : Пилум магическим образом возвращается в руку ааракокры сразу после совершения дальнобойной атаки.",,melee,4,5,30,120,,,21153:actions:1
21154,actions,0,Мультиатака,Multiattack,feature,,,Мультиатака . Культист совершает две атаки Ударом щупальцем . Он может заменить каждую атаку использованием Гниения разума .,,,,,,,,,21154:actions:0
21154,actions,1,Удар щупальцем,Tentacle Lash,attack,,,"Удар щупальцем . Бросок рукопашной атаки : +7 , досягаемость 10 фт. Попадание : 7 ( 1к6 + 4 ) Рубящего урона плюс 14 ( 4к6 ) Психического урона. Если цель — существо Большого размера или меньше, она становится Схваченной (Сл освобождения от захвата 14) одним из двух щупалец; пока длится захват, она также Опутана .",,melee,7,10,,,,,21154:actions:1
21154,actions,2,Гниение разума,Mind Rot,save,,,"Гниение разума . Спасбросок Мудрости : Сл 15, одно видимое культистом существо в 90 футах. Провал : 27 ( 6к8 ) Психического урона, и цель становится Отравленной до начала следующего хода культиста. Успех : Только половина урона.",,,,,,,WISDOM,15,21154:actions:2
21154,actions,3,Сотворение заклинаний,Spellcasting,feature,,,"Сотворение заклинаний . Культист сотворяет одно из следующих заклинаний (заклинательная характеристика — Мудрость, Сл спасброска заклинаний 15): Неограниченно : Малая иллюзия , Обнаружение мыслей",,,,,,,,,21154:actions:3
21154,reactions,0,Контрзаклинание,Counterspell,feature,,,"Контрзаклинание (2/день) . Культист сотворяет Контрзаклинание в ответ на условие этого заклинания (заклинательная характеристика — та же, что для Сотворения заклинаний ).",,,,,,,,,21154:reactions:0
21155,traits,0,Амфибия,Amphibious,feature,,,"Амфибия . Аболет может дышать как воздухом, так и под водой.",,,,,,,,,21155:traits:0
21155,traits,1,Потустороннее восстановление,Eldritch Restoration,feature,,,Потустороннее восстановление . Спустя 5к10 дней после уничтожения тело аболета заново возрождается со всеми Хитами в Дальнем Пределе или другом месте по выбору Мастера.,,,,,,,,,21155:traits:1
21155,traits,2,Легендарное сопротивление,Legendary Resistance,feature,,,"Легендарное сопротивление (3/день, или 4/день в Логове) . Если аболет проваливает Спасбросок , он может вместо этого сделать его успешным.",,,,,,,,,21155:traits:2
21155,traits,3,Облако слизи,Mucus Cloud,save,,,"Облако слизи . Находясь под водой, аболет окружает себя слизью. Спасбросок Телосложения : Сл 14, каждое существо в 5-футовой Эманации , исходящей от аболета в конце его хода. Провал : Цель проклята . На время действия проклятия кожа этого существа становится склизкой, оно может дышать как воздухом, так и под водой, а также может восстанавливать Хиты только будучи под водой. Проклятое существо получает 6 ( 1к12 ) урона Кислотой в конце каждых 10 минут, проведённых вне воды, если его кожу не увлажнить до истечения этого срока.",,,,,,,CONSTITUTION,14,21155:traits:3
21155,traits,4,Зондирующая телепатия,Probing Telepathy,feature,,,"Зондирующая телепатия . Если существо общается с аболетом при помощи телепатии и аболет видит это существо, он узнаёт самые сокровенные желания этого существа.",,,,,,,,,21155:traits:4
21155,actions,0,Мультиатака,Multiattack,feature,,,"Мультиатака . Аболет совершает две атаки Щупальцем и использует Поглощение воспоминаний или Порабощение разума , если оно доступно.",,,,,,,,,21155:actions:0
21155,actions,1,Щупальце,Tentacle,attack,,,"Щупальце . Бросок рукопашной атаки : +9 , досягаемость 15 фт. Попадание : 12 ( 2к6 + 5 ) Дробящего урона. Если цель — существо Большого размера или меньше, она становится Схваченной (Сл освобождения от захвата 14) одним из четырёх щупалец.",,melee,9,15,,,,,21155:actions:1
21155,actions,2,Поглощение воспоминаний,Consume Memories,save,,,"Поглощение воспоминаний . Спасбросок Интеллекта : Сл 16, одно Очарованное или Схваченное аболетом существо в 30 футах. Провал : 10 ( 3к6 ) Психического урона. Успех : Только половина урона. Провал или успех : Аболет получает воспоминания цели, если она — Гуманоид и это действие опустило её Хиты до 0.",,,,,,,INTELLIGENCE,16,21155:actions:2
21155,actions,3,Порабощение разума,Dominate Mind,save,,,"Порабощение разума (2/день) . Спасбросок Мудрости : Сл 16, одно видимое аболетом существо в 30 футах. Провал : Цель Очарована , пока аболет не умрёт или не окажется на разных с целью планах бытия. Очарованная цель действует как союзник аболета и находится под его контролем, пока остаётся в пределах 60 футов от него. Кроме того, цель и аболет могут телепатически общаться друг с другом на любом расстоянии. Цель повторяет этот спасбросок каждый раз, когда получает урон, а также спустя каждые 24 часа, проведённые на расстоянии не меньше 1 мили от аболета; при успехе цель оканчивает на себе этот эффект.",,,,,,,WISDOM,16,21155:actions:3
21155,legendary_actions,0,Бич,Lash,feature,,,Бич . Аболет совершает одну атаку Щупальцем .,,,,,,,,,21155:legendary_actions:0
21155,legendary_actions,1,Психическое истощение,Psychic Drain,feature,,,"Психическое истощение . Если хотя бы одно существо Очаровано или Схвачено аболетом, он использует Поглощение воспоминаний и восстанавливает 5 ( 1к10 ) Хитов.",,,,,,,,,21155:legendary_actions:1
21156,traits,0,Страх огня,Fear of Fire,feature,,,"Страх огня . Если йети получает урон Огнём, он совершает с Помехой броски атаки и проверки характеристик до конца своего следующего хода.",,,,,,,,,21156:traits:0
21156,actions,0,Мультиатака,Multiattack,feature,,,Мультиатака . Йети может использовать Леденящий взгляд и совершает две атаки Когтями или Броском льда в любой комбинации .,,,,,,,,,21156:actions:0
21156,actions,1,Когти,Claw,attack,,,"Когти . Бросок рукопашной атаки : +11 , досягаемость 5 фт. Попадание : 14 ( 2к6 + 7 ) Рубящего урона плюс 7 ( 2к6 ) урона Холодом.",,melee,11,5,,,,,21156:actions:1
21156,actions,2,Бросок льда,Ice Throw,attack,,,"Бросок льда . Бросок дальнобойной атаки : +11 , дистанция 60/240 фт. Попадание : 12 ( 2к4 + 7 ) Дробящего урона плюс 7 ( 2к6 ) урона Холодом.",,ranged,11,,60,240,,,21156:actions:2
21156,actions,3,Леденящий взгляд,Chilling Gaze,save,,,"Леденящий взгляд . Спасбросок Телосложения : Сл 18, одно видимое йету существо в 30 футах. Провал : 21 ( 6к6 ) урона Холодом, и цель Парализована до начала следующего хода йети, если только она не обладает Иммунитетом к урону Холодом. Успех : Цель невосприимчива к Леденящему взгляду этого йети на 1час.",,,,,,,CONSTITUTION,18,21156:actions:3
21156,actions,4,Холодное дыхание,Cold Breath,save,6,6,"Холодное дыхание ( Перезарядка 6 ) . Спасбросок Телосложения : Сл 18, каждое существо в 30-футовом Конусе . Провал : 45 ( 10к8 ) урона Холодом. Успех : Только половина урона.",,,,,,,CONSTITUTION,18,21156:actions:4
21157,traits,0,Амфибия,Amphibious,feature,,,"Амфибия . Взрослый чёрный дракон может дышать как воздухом, так и под водой.",,,,,,,,,21157:traits:0
21157,traits,1,Легендарное сопротивление,Legendary Resistance,feature,,,"Легендарное сопротивление (3/день, или 4/день в Логове) . Если дракон проваливает спасбросок, он вместо этого может преуспеть в нём.",,,,,,,,,21157:traits:1
21157,actions,0,Мультиатака,Multiattack,feature,,,Мультиатака . Дракон совершает три атаки Раздиранием . Он может заменить одну из этих атак использованием Сотворения заклинаний ( Кислотная стрела Мельфа ( версия 3-го уровня )).,,,,,,,,,21157:actions:0
21157,actions,1,Раздирание,Rend,attack,,,"Раздирание . Бросок рукопашной атаки : +11 , досягаемость 10 фт. Попадание : 13 ( 2к6 + 6 ) Рубящего урона плюс 4 ( 1к8 ) урона Кислотой.",,melee,11,10,,,,,21157:actions:1
21157,actions,2,Кислотное дыхание,Acid Breath,save,5,6,"Кислотное дыхание ( Перезарядка 5–6 ) . Спасбросок Ловкости : Сл 18, каждое существо в Линии длиной 60 футов и шириной 5 футов. Провал : 54 ( 12к8 ) урона Кислотой. Успех : Только половина урона.",,,,,,,DEXTERITY,18,21157:actions:2
21157,actions,3,Сотворение заклинаний,Spellcasting,feature,,,"Сотворение заклинаний . Взрослый чёрный дракон сотворяет одно из следующих заклинаний, не нуждаясь в Материальных компонентах (заклинательная характеристика — Харизма, Сл спасброска заклинаний 17, +9 к попаданию атак заклинаний): Неограниченно : Кислотная стрела Мельфа ( версия 3-го уровня ), Обнаружение магии , Ужас 1/день каждое : Едкий шар , Разговор с мёртвыми",,,,,,,,,21157:actions:3
21157,legendary_actions,0,Туча насекомых,Cloud of Insects,save,,,"Туча насекомых . Спасбросок Ловкости : Сл 17, одно видимое драконом существо в 120 футах. Провал : 22 ( 4к10 ) урона Ядом, и цель получает Помеху на спасброски для поддержания Концентрации до конца своего следующего хода. Провал или успех : Дракон не может совершить это действие повторно до начала своего следующего хода.",,,,,,,DEXTERITY,17,21157:legendary_actions:0
21157,legendary_actions,1,Пугающее присутствие,Frightful Presence,feature,,,Пугающее присутствие . Дракон использует Сотворение заклинаний ( Ужас ). Дракон не может совершить это действие повторно до начала своего следующего хода.,,,,,,,,,21157:legendary_actions:1
21157,legendary_actions,2,Наскок,Pounce,feature,,,Наскок . Дракон перемещается на расстояние вплоть до половины своей Скорости и совершает одну атаку Раздиранием .,,,,,,,,,21157:legendary_actions:2
21158,traits,0,Легендарное сопротивление,Legendary Resistance,feature,,,"Легендарное сопротивление (3/день, или 4/день в Логове) . Если дракон проваливает спасбросок, он вместо этого может в нём преуспеть.",,,,,,,,,21158:traits:0
21158,actions,0,Мультиатака,Multiattack,feature,,,Мультиатака . Дракон совершает три атаки Раздиранием . Он может заменить одну из этих атак использованием Сотворения заклинаний ( Дребезги ).,,,,,,,,,21158:actions:0
21158,actions,1,Раздирание,Rend,attack,,,"Раздирание . Бросок рукопашной атаки : +12 , досягаемость 10 фт. Попадание : 16 ( 2к8 + 7 ) Рубящего урона плюс 5 ( 1к10 ) урона Электричеством.",,melee,12,10,,,,,21158:actions:1
21158,actions,2,Дыхание молнии,Lightning Breath,save,5,6,"Дыхание молнии ( Перезарядка 5–6 ) . Спасбросок Ловкости : Сл 19, каждое существо в Линии длиной 90 футов и шириной 5 футов. Провал : 60 ( 11к10 ) урона Электричеством. Успех : Только половина урона.",,,,,,,DEXTERITY,19,21158:actions:2
21158,actions,3,Сотворение заклинаний,Spellcasting,feature,,,"Сотворение заклинаний . Взрослый синий дракон сотворяет одно из следующих заклинаний, не нуждаясь в Материальных компонентах (заклинательная характеристика — Харизма, Сл спасброска заклинаний 18): Неограниченно : Волшебная рука , Дребезги , Невидимость , Обнаружение магии 1/день каждое : Наблюдение , Послание",,,,,,,,,21158:actions:3
21158,legendary_actions,0,Сокрытый полёт,Cloaked Flight,feature,,,Сокрытый полёт . Дракон использует Сотворение заклинаний ( Невидимость ) на себя и может пролететь на расстояние вплоть до половины своей Скорости полёта . Дракон не может совершить это действие повторно до начала своего следующего хода.,,,,,,,,,21158:legendary_actions:0
21158,legendary_actions,1,Звуковой удар,Sonic Boom,feature,,,Звуковой удар . Дракон использует Сотворение заклинаний ( Дребезги ). Дракон не может совершить это действие повторно до начала своего следующего хода.,,,,,,,,,21158:legendary_actions:1
21158,legendary_actions,2,Взмах хвостом,Tail Swipe,feature,,,Взмах хвостом . Дракон совершает одну атаку Раздиранием .,,,,,,,,,21158:legendary_actions:2
21159,traits,0,Легендарное сопротивление,Legendary Resistance,feature,,,"Легендарное сопротивление (3/день, или 4/день в Логове) . Если дракон проваливает спасбросок, он вместо этого может преуспеть в нём.",,,,,,,,,21159:traits:0
21159,actions,0,Мультиатака,Multiattack,feature,,,Мультиатака . Дракон совершает три атаки Раздиранием . Он может заменить одну из этих атак использованием (А) Усыпляющего дыхания или (Б) Сотворения заклинаний ( Палящий луч ).,,,,,,,,,21159:actions:0
21159,actions,1,Раздирание,Rend,attack,,,"Раздирание . Бросок рукопашной атаки : +11 , досягаемость 10 фт. Попадание : 17 ( 2к10 + 6 ) Рубящего урона плюс 4 ( 1к8 ) урона Огнём.",,melee,11,10,,,,,21159:actions:1
21159,actions,2,Огненное дыхание,Fire Breath,save,5,6,"Огненное дыхание ( Перезарядка 5–6 ) . Спасбросок Ловкости : Сл 18, каждое существо в Линии длиной 60 футов и шириной 5 футов. Провал : 45 ( 10к8 ) урона Огнём. Успех : Только половина урона.",,,,,,,DEXTERITY,18,21159:actions:2
21159,actions,3,Усыпляющее дыхание,Sleep Breath,save,,,"Усыпляющее дыхание . Спасбросок Телосложения : Сл 18, каждое существо в 60-футовом Конусе . Провал : Цель Недееспособна до конца своего следующего хода, а затем повторяет спасбросок. Второй провал : Цель Бессознательна на 10 минут. Этот эффект оканчивается, если цель получит урон или существо в пределах 5 футов от цели действием разбудит её.",,,,,,,CONSTITUTION,18,21159:actions:3
21159,actions,4,Сотворение заклинаний,Spellcasting,feature,,,"Сотворение заклинаний . Дракон сотворяет одно из следующих заклинаний, не нуждаясь в Материальных компонентах (заклинательная характеристика — Харизма, Сл спасброска заклинаний 16, +8 к попаданию атак заклинаний): Неограниченно : Малая иллюзия , Обнаружение магии , Палящий луч , Преображение (только облик Зверя или Гуманоида; без получения Временных хитов от заклинания; без Концентрации ; без необходимости сохранять Временные хиты для поддержания заклинания), Разговор с животными 1/день каждое : Власть над погодой , Обнаружение мыслей",,,,,,,,,21159:actions:4
21159,legendary_actions,0,Пылающий свет,Blazing Light,feature,,,Пылающий свет . Дракон использует Сотворение заклинаний ( Палящий луч ).,,,,,,,,,21159:legendary_actions:0
21159,legendary_actions,1,Наскок,Pounce,feature,,,Наскок . Дракон перемещается на расстояние вплоть до половины своей Скорости и совершает одну атаку Раздиранием .,,,,,,,,,21159:legendary_actions:1
21159,legendary_actions,2,Раскалённые пески,Scorching Sands,save,,,"Раскалённые пески . Спасбросок Ловкости : Сл 16, одно видимое драконом существо в 120 футах. Провал : 27 ( 6к8 ) урона Огнём, и Скорость цели снижается вдвое до конца её следующего хода. Провал или успех : Дракон не может совершить это действие повторно до начала своего следующего хода.",,,,,,,DEXTERITY,16,21159:legendary_actions:2
21160,traits,0,Амфибия,Amphibious,feature,,,"Амфибия . Дракон может дышать как воздухом, так и под водой.",,,,,,,,,21160:traits:0
21160,traits,1,Легендарное сопротивление,Legendary Resistance,feature,,,"Легендарное сопротивление (3/день или 4/день в Логове) . Если дракон проваливает спасбросок, он вместо этого может в нём преуспеть.",,,,,,,,,21160:traits:1
21160,actions,0,Мультиатака,Multiattack,feature,,,Мультиатака . Дракон совершает три атаки Раздиранием . Он может заменить одну из этих атак использованием (А) Отторгающего дыхания или (Б) Сотворения заклинаний ( Направляющий снаряд ( версия 2-го уровня )).,,,,,,,,,21160:actions:0
21160,actions,1,Раздирание,Rend,attack,,,"Раздирание . Бросок рукопашной атаки : +12 , досягаемость 10 фт. Попадание : 16 ( 2к8 + 7 ) Рубящего урона плюс 5 ( 1к10 ) урона Электричеством.",,melee,12,10,,,,,21160:actions:1
21160,actions,2,Дыхание молнии,Lightning Breath,save,5,6,"Дыхание молнии ( Перезарядка 5–6 ) . Спасбросок Ловкости : Сл 19, каждое существо в Линии длиной 90 футов и шириной 5 футов. Провал : 55 ( 10к10 ) урона Электричеством. Успех : Только половина урона.",,,,,,,DEXTERITY,19,21160:actions:2
21160,actions,3,Отторгающее дыхание,Repulsion Breath,save,,,"Отторгающее дыхание . Спасбросок Силы : Сл 19, каждое существо в 30-футовом Конусе . Провал : Цель отталкивается по прямой линии от дракона на расстояние вплоть до 60 футов и Опрокидывается .",,,,,,,STRENGTH,19,21160:actions:3
21160,actions,4,Сотворение заклинаний,Spellcasting,feature,,,"Сотворение заклинаний . Дракон сотворяет одно из следующих заклинаний, не нуждаясь в Материальных компонентах (заклинательная характеристика — Харизма, Сл спасброска заклинаний 17, +10 к попаданию атак заклинаний): Неограниченно : Направляющий снаряд ( версия 2-го уровня ), Обнаружение магии , Преображение (только облик Зверя или Гуманоида; без получения Временных хитов от заклинания; без Концентрации ; без необходимости сохранять Временные хиты для поддержания заклинания), Разговор с животными , Чудотворство 1/день каждое : Обнаружение мыслей , Подводное дыхание",,,,,,,,,21160:actions:4
21160,legendary_actions,0,Направляющий свет,Guiding Light,feature,,,Направляющий свет . Дракон использует Сотворение заклинаний ( Направляющий снаряд ( версия 2-го уровня )).,,,,,,,,,21160:legendary_actions:0
21160,legendary_actions,1,Наскок,Pounce,feature,,,Наскок . Дракон перемещается на расстояние вплоть до половины своей Скорости и совершает одну атаку Раздиранием .,,,,,,,,,21160:legendary_actions:1
21160,legendary_actions,2,Раскат грома,Thunderclap,save,,,"Раскат грома . Спасбросок Телосложения : Сл 17, каждое существо в 20-футовой Сфере с центром в видимой драконом точке в 90 футах. Провал : 10 ( 3к6 ) урона Звуком, и цель Глохнет до начала своего следующего хода.",,,,,,,CONSTITUTION,17,21160:legendary_actions:2
21161,traits,0,Легендарное сопротивление,Legendary Resistance,feature,,,"Легендарное сопротивление (3/день, или 4/день в Логове) . Если дракон проваливает спасбросок, он вместо этого может преуспеть в нём.",,,,,,,,,21161:traits:0
21161,actions,0,Мультиатака,Multiattack,feature,,,"Мультиатака . Дракон совершает три атаки Раздиранием . Он может заменить одну из этих атак использованием (A) Замедляющего дыхания или (Б) Сотворения заклинаний ( Пронзание разума , версия 4-го уровня ).",,,,,,,,,21161:actions:0
21161,actions,1,Раздирание,Rend,attack,,,"Раздирание . Бросок рукопашной атаки : +11 , досягаемость 10 фт. Попадание : 17 ( 2к10 + 6 ) Рубящего урона плюс 4 ( 1к8 ) урона Кислотой.",,melee,11,10,,,,,21161:actions:1
21161,actions,2,Кислотное дыхание,Acid Breath,save,5,6,"Кислотное дыхание ( Перезарядка 5–6 ) . Спасбросок Ловкости : Сл 18, каждое существо в Линии длиной 60 футов и шириной 5 футов. Провал : 54 ( 12к8 ) урона Кислотой. Успех : Только половина урона.",,,,,,,DEXTERITY,18,21161:actions:2
21161,actions,3,Замедляющее дыхание,Slowing Breath,save,,,"Замедляющее дыхание . Спасбросок Телосложения : Сл 18, каждое существо в 60-футовом Конусе . Провал : Цель не может совершать Реакции , её Скорость уменьшена вдвое, а в свой ход она может совершить только действие или Бонусное действие , но не то и другое сразу. Этот эффект длится до конца следующего хода цели.",,,,,,,CONSTITUTION,18,21161:actions:3
21161,actions,4,Сотворение заклинаний,Spellcasting,feature,,,"Сотворение заклинаний . Взрослый медный дракон сотворяет одно из следующих заклинаний, не нуждаясь в Материальных компонентах (заклинательная характеристика — Харизма, Сл спасброска заклинаний 17): Неограниченно : Малая иллюзия , Обнаружение магии , Преображение (только облик Зверя или Гуманоида; без получения Временных хитов от заклинания; без Концентрации ; без необходимости сохранять Временные хиты для поддержания заклинания), Пронзание разума ( версия 4-го уровня ) 1/день каждое : Высшее восстановление , Образ",,,,,,,,,21161:actions:4
21161,legendary_actions,0,Приступ уморы,Giggling Magic,save,,,"Приступ уморы . Спасбросок Харизмы : Сл 17, одно видимое драконом существо в 90 футах. Провал : 24 ( 7к6 ) Психического урона. До конца своего следующего хода каждый раз, когда цель совершает проверку характеристики или бросок атаки , она бросает 1к6 и вычитает выпавшее число из результата Теста к20 . Провал или успех : Дракон не может совершить это действие повторно до начала своего следующего хода.",,,,,,,CHARISMA,17,21161:legendary_actions:0
21161,legendary_actions,1,Встряска разума,Mind Jolt,feature,,,"Встряска разума . Дракон использует Сотворение заклинаний ( Пронзание разума , версия 4-го уровня ). Дракон не может совершить это действие повторно до начала своего следующего хода.",,,,,,,,,21161:legendary_actions:1
