monster_external_id,habitat_code
21492,efirnyy_plan
21493,podzeme
21495,lyubaya
21496,lyubaya
21497,lyubaya
21498,devyat_preispodnikh
21499,lesa
21499,strana_fey
21500,lesa
21500,strana_fey
21501,verkhnie_plany
21504,gorod
21504,podzeme
21506,lyubaya
21507,lyubaya
21508,lesa
21509,gorod
21509,gory
21509,lesa
21509,pribrezhe
21509,pustynya
21509,kholmy
21510,bezdna
21512,podzeme
21512,pustynya
21513,podzeme
21513,pustynya
21514,podzeme
21514,pustynya
21515,bezdna
21516,lyubaya
21517,gorod
21517,devyat_preispodnikh
21520,gory
21520,kholmy
21521,limbo
21523,arktika
21524,bolota
21524,gorod
21524,lesa
21527,arktika
21527,gory
21527,pribrezhe
21527,pustynya
21527,kholmy
21528,podzeme
21529,podzeme
21531,pribrezhe
21531,pod_vodoy
21532,pribrezhe
21532,pod_vodoy
21533,pribrezhe
21533,pod_vodoy
21534,podzeme
21534,stikhiynyy_plan_ognya
21535,podzeme
21535,stikhiynyy_plan_ognya
21536,podzeme
21536,stikhiynyy_plan_ognya
21537,lesa
21537,strana_fey
21538,lesa
21538,strana_fey
21539,lesa
21539,strana_fey
21541,lyubaya
21542,lyubaya
21543,pribrezhe
21543,pod_vodoy
21545,bezdna
21546,podzeme
21546,tsarstvo_teney
21547,gorod
21547,podzeme
21547,tsarstvo_teney
21548,bolota
21548,lesa
21549,gorod
21550,podzeme
21551,gorod
21551,gory
21552,gorod
21552,podzeme
21552,tsarstvo_teney
21553,limbo
21554,stikhiynye_plany
21555,verkhnie_plany
21556,podzeme
21557,gorod
21557,podzeme
21558,pustynya
21558,verkhnie_plany
21559,pustynya
21559,verkhnie_plany
21560,pustynya
21560,verkhnie_plany
21561,pustynya
21561,verkhnie_plany
21563,devyat_preispodnikh
21564,podzeme
21564,nizhnie_plany
21565,lesa
21565,strana_fey
21566,pustynya
21566,verkhnie_plany
21567,lyubaya
21568,stikhiynye_plany
21569,bolota
21569,gorod
21569,gory
21569,lesa
21569,luga
21569,podzeme
21569,pustynya
21569,kholmy
21570,gory
21570,podzeme
21571,lyubaya
21572,pribrezhe
21572,pod_vodoy
21573,gorod
21573,nizhnie_plany
21575,lyubaya
21576,bezdna
21578,nizhnie_plany
21579,devyat_preispodnikh
21583,bolota
21583,gorod
21583,gory
21583,lesa
21583,luga
21583,podzeme
21583,pustynya
21583,kholmy
21585,gorod
21586,luga
21586,pustynya
21587,luga
21587,pustynya
21589,lyubaya
21590,lyubaya
21591,lesa
21592,lesa
21594,podzeme
21595,arktika
21595,lesa
21595,kholmy
21595,gory
21595,bolota
21595,podzeme
21596,arktika
21596,bolota
21596,gory
21596,lesa
21596,podzeme
21596,kholmy
21597,lesa
21599,nizhnie_plany
21600,podzeme
21601,lesa
21601,strana_fey
21602,gorod
21602,podzeme
21603,gorod
21603,podzeme
21604,gorod
21604,podzeme
21605,gorod
21605,podzeme
21606,gorod
21606,podzeme
21608,lesa
21609,podzeme
21610,podzeme
21611,bezdna
21613,gorod
21613,podzeme
21613,tsarstvo_teney
21615,lyubaya
21616,lyubaya
21617,lyubaya
21618,bolota
21618,pribrezhe
21618,pod_vodoy
21618,stikhiynyy_plan_vody
21619,gorod
21619,podzeme
21621,arktika
21621,lesa
21621,kholmy
21622,lesa
21622,luga
21622,kholmy
21623,gorod
21623,lesa
21624,lesa
21624,luga
21624,pustynya
21625,lesa
21625,kholmy
21628,bolota
21628,gorod
21628,lesa
21629,arktika
21629,bolota
21629,gorod
21629,gory
21629,lesa
21629,pribrezhe
21629,podzeme
21629,pustynya
21629,kholmy
21630,arktika
21632,lesa
21632,luga
21632,kholmy
21632,strana_fey
21633,podzeme
21633,tsarstvo_teney
21634,gory
21634,kholmy
21635,podzeme
21635,stikhiynyy_plan_zemli
21636,podzeme
21636,stikhiynyy_plan_zemli
21637,bezdna
21638,bolota
21639,pribrezhe
21639,pustynya
21640,pustynya
21641,pribrezhe
21642,kholmy
21643,lesa
21643,luga
21644,lesa
21645,gory
21645,kholmy
21646,arktika
21647,gorod
21647,gory
21649,bolota
21649,gorod
21649,lesa
21649,pustynya
21650,bolota
21650,gorod
21650,lesa
21650,pustynya
21651,bolota
21651,gorod
21651,lesa
21651,pustynya
21652,bolota
21652,gorod
21652,lesa
21652,pustynya
21653,bolota
21653,gorod
21653,lesa
21653,pustynya
21654,gorod
21654,podzeme
21654,tsarstvo_teney
27072,gorod
27073,devyat_preispodnikh
27074,gorod
27074,devyat_preispodnikh
27075,gorod
27075,podzeme
27075,devyat_preispodnikh
27076,gorod
27076,podzeme
27185,gorod
27186,lyubaya
27187,lyubaya
27188,lyubaya
27189,gorod
27189,podzeme
27190,gorod
27190,podzeme
27191,gorod
27191,podzeme
27192,gorod
27192,podzeme
29215,strana_fey
29217,strana_fey
29218,strana_fey
29219,strana_fey
29220,strana_fey
29245,strana_fey
29246,strana_fey
29335,bolota
29335,lesa
29337,lesa
29337,pribrezhe
29337,kholmy
29339,gorod
29340,gorod
29341,gorod
29342,gorod
29342,podzeme
29343,podzeme
29344,podzeme
29345,podzeme
29346,podzeme
29347,gorod
29347,podzeme
29348,gorod
29348,podzeme
29349,gorod
29349,podzeme
29354,gorod
29357,gorod
29358,gorod
29366,arktika
29366,podzeme
29368,lesa
29368,pribrezhe
29369,lesa
29369,pribrezhe
29370,lesa
29370,pribrezhe
29373,lyubaya
29374,lyubaya
29375,lyubaya
29376,lyubaya
29377,bolota
29377,lesa
29378,lesa
29380,gory
29380,kholmy
29381,lyubaya
29382,lyubaya
30292,gorod
30292,podzeme
30292,tsarstvo_teney
30447,gorod
30447,podzeme
30447,tsarstvo_teney
31340,lyubaya
31341,bolota
31341,gorod
31341,podzeme
