source_external_id,slug,name_rusloc,name_engloc,alignment_code,size,size_secondary,is_swarm,swarm_size,armor_class,armor_class_text,initiative_bonus,initiative_score,hp_average,hp_dice_count,hp_dice_sides,hp_dice_modifier,hp_formula,str_score,dex_score,con_score,int_score,wis_score,cha_score,passive_perception,telepathy_ft,cr_rating,cr_value,xp_base,xp_lair,proficiency_bonus,legendary_uses_base,legendary_uses_lair,legendary_text,lore_text,campaign_id,homebrew_id
21161,adult-copper-dragon,Взрослый медный дракон,Adult Copper Dragon,chaotic_good,HUGE,,false,,18,,11,21,184,16,12,80,16к12+80,23,12,21,18,15,18,22,,14,14,11500,13000,5,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21162,adult-gold-dragon,Взрослый золотой дракон,Adult Gold Dragon,lawful_good,HUGE,,false,,19,,14,24,243,18,12,126,18к12+126,27,14,25,16,15,24,24,,17,17,18000,20000,6,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21163,adult-green-dragon,Взрослый зелёный дракон,Adult Green Dragon,lawful_evil,HUGE,,false,,19,,11,21,207,18,12,90,18к12+90,23,12,21,18,15,18,22,,15,15,13000,15000,5,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21164,adult-red-dragon,Взрослый красный дракон,Adult Red Dragon,chaotic_evil,HUGE,,false,,19,,12,22,256,19,12,133,19к12+133,27,10,25,16,13,23,23,,17,17,18000,20000,6,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21165,adult-silver-dragon,Взрослый серебряный дракон,Adult Silver Dragon,lawful_good,HUGE,,false,,19,,10,20,216,16,12,112,16к12+112,27,10,25,16,13,22,21,,16,16,15000,18000,5,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21166,adult-white-dragon,Взрослый белый дракон,Adult White Dragon,chaotic_evil,HUGE,,false,,18,,10,20,200,16,12,96,16к12+96,22,10,22,8,12,12,21,,13,13,10000,11500,5,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21167,air-elemental,Воздушный элементаль,Air Elemental,neutral,LARGE,,false,,15,,5,15,90,12,10,24,12к10+24,14,20,14,6,10,6,10,,5,5,1800,,3,,,,,,
21168,allosaurus,Аллозавр,Allosaurus,unaligned,LARGE,,false,,13,,1,11,51,6,10,18,6к10+18,19,13,17,2,12,5,15,,2,2,450,,2,,,,,,
21169,ancient-black-dragon,Древний чёрный дракон,Ancient Black Dragon,chaotic_evil,GARGANTUAN,,false,,22,,16,26,367,21,20,147,21к20+147,27,14,25,16,15,22,26,,21,21,33000,41000,7,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21170,ancient-blue-dragon,Древний синий дракон,Ancient Blue Dragon,lawful_evil,GARGANTUAN,,false,,22,,14,24,481,26,20,208,26к20+208,29,10,27,18,17,25,27,,23,23,50000,62000,7,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21171,ancient-brass-dragon,Древний латунный дракон,Ancient Brass Dragon,chaotic_good,GARGANTUAN,,false,,20,,12,22,332,19,20,133,19к20+133,27,10,25,16,15,22,24,,20,20,25000,33000,6,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21172,ancient-bronze-dragon,Древний бронзовый дракон,Ancient Bronze Dragon,lawful_good,GARGANTUAN,,false,,22,,14,24,444,24,20,192,24к20+192,29,10,27,18,17,25,27,,22,22,41000,50000,7,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21173,ancient-copper-dragon,Древний медный дракон,Ancient Copper Dragon,chaotic_good,GARGANTUAN,,false,,21,,15,25,367,21,20,147,21к20+147,27,12,25,20,17,22,27,,21,21,33000,41000,7,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21174,ancient-gold-dragon,Древний золотой дракон,Ancient Gold Dragon,lawful_good,GARGANTUAN,,false,,22,,16,26,546,28,20,252,28к20+252,30,14,29,18,17,28,27,,24,24,62000,75000,7,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21175,ancient-green-dragon,Древний зелёный дракон,Ancient Green Dragon,lawful_evil,GARGANTUAN,,false,,21,,15,25,402,23,20,161,23к20+161,27,12,25,20,17,22,27,,22,22,41000,50000,7,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21176,ancient-red-dragon,Древний красный дракон,Ancient Red Dragon,chaotic_evil,GARGANTUAN,,false,,22,,14,24,507,26,20,234,26к20+234,30,10,29,18,15,27,26,,24,24,62000,75000,7,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21177,ancient-silver-dragon,Древний серебряный дракон,Ancient Silver Dragon,lawful_good,GARGANTUAN,,false,,22,,14,24,468,24,20,216,24к20+216,30,10,29,18,15,26,26,,23,23,50000,62000,7,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21178,ancient-white-dragon,Древний белый дракон,Ancient White Dragon,chaotic_evil,GARGANTUAN,,false,,20,,12,22,333,18,20,144,18к20+144,26,10,26,10,13,18,23,,20,20,25000,33000,6,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21179,animal-lord,Владыка зверей,Animal Lord,neutral,MEDIUM,,false,,19,,19,29,323,34,8,170,34к8+170,24,25,20,19,23,22,28,,20,20,25000,,6,3,,"У этого существа есть 3 использования Легендарных действий; оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21180,animated-armor,Живой доспех,Animated Armor,unaligned,MEDIUM,,false,,18,,2,12,33,6,8,6,6к8+6,14,11,13,1,3,1,6,,1,1,200,,2,,,,,,
21181,animated-broom,Живая метла,Animated Broom,unaligned,SMALL,,false,,15,,5,15,14,4,6,0,4к6,10,17,10,1,5,1,7,,1/4,0.25,50,,2,,,,,,
21182,animated-flying-sword,Живой летающий меч,Animated Flying Sword,unaligned,SMALL,,false,,17,,4,14,14,4,6,0,4к6,12,15,11,1,5,1,7,,1/4,0.25,50,,2,,,,,,
21183,animated-rug-of-smothering,Живой ковёр удушения,Animated Rug of Smothering,unaligned,LARGE,,false,,12,,4,14,27,5,10,0,5к10,17,14,10,1,3,1,6,,2,2,450,,2,,,,,,
21184,ankheg,Анкег,Ankheg,unaligned,LARGE,,false,,14,,0,10,45,6,10,12,6к10+12,17,11,14,1,13,6,11,,2,2,450,,2,,,,,,
21185,ankylosaurus,Анкилозавр,Ankylosaurus,unaligned,HUGE,,false,,15,,0,10,68,8,12,16,8к12+16,19,11,15,2,12,5,11,,3,3,700,,2,,,,,,
21187,arcanaloth,Арканалот,Arcanaloth,neutral_evil,MEDIUM,,false,,18,,5,15,175,27,8,54,27к8+54,17,12,14,20,16,17,17,120,12,12,8400,,4,,,,,,
21188,arch-hag,Архикарга,Arch-hag,neutral_evil,LARGE,,false,,20,,16,26,333,29,10,174,29к10+174,24,15,23,19,19,25,21,,21,21,33000,41000,7,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21189,archelon,Архелон,Archelon,unaligned,HUGE,,false,,17,,3,13,90,12,12,12,12к12+12,18,16,13,4,14,6,12,,4,4,1100,,2,,,,,,
21190,archmage,Архимаг,Archmage,neutral,MEDIUM,SMALL,false,,17,,7,17,170,31,8,31,31к8+31,10,14,12,20,15,16,16,,12,12,8400,,4,,,,,,
21191,archpriest,Архиепископ,Archpriest,neutral,MEDIUM,SMALL,false,,16,,5,15,240,32,8,96,32к8+96,16,12,17,14,21,14,19,,12,12,8400,,4,,,,,,
21192,assassin,Ассасин,Assassin,neutral,MEDIUM,SMALL,false,,16,,10,20,97,15,8,30,15к8+30,11,18,14,16,11,10,16,,8,8,3900,,3,,,,,,
21193,awakened-shrub,Пробуждённый куст,Awakened Shrub,neutral,SMALL,,false,,9,,-1,9,10,3,6,0,3к6,3,8,11,10,10,6,10,,0,0,10,,2,,,,,,
21194,awakened-tree,Пробуждённое дерево,Awakened Tree,neutral,HUGE,,false,,13,,-2,8,59,7,12,14,7к12+14,19,6,15,10,10,7,10,,2,2,450,,2,,,,,,
21195,axe-beak,Топороклюв,Axe Beak,unaligned,LARGE,,false,,11,,1,11,19,3,10,3,3к10+3,14,12,12,2,10,5,10,,1/4,0.25,50,,2,,,,,,
21196,azer-pyromancer,Эйзер пиромант,Azer Pyromancer,lawful_neutral,MEDIUM,,false,,18,,2,12,97,13,8,39,13к8+39,15,14,16,12,18,13,17,,6,6,2300,,3,,,,,,
21197,azer-sentinel,Эйзер страж,Azer Sentinel,lawful_neutral,MEDIUM,,false,,17,,1,11,39,6,8,12,6к8+12,17,12,15,12,13,10,11,,2,2,450,,2,,,,,,
21198,baboon,Бабуин,Baboon,unaligned,SMALL,,false,,12,,2,12,3,1,6,0,1к6,8,14,11,4,12,6,11,,0,0,10,,2,,,,,,
21200,balor,Балор,Balor,chaotic_evil,HUGE,,false,,19,,14,24,287,23,12,138,23к12+138,26,15,22,20,16,22,19,120,19,19,22000,,6,,,,,,
21201,bandit-captain,Атаман бандитов,Bandit Captain,neutral,MEDIUM,SMALL,false,,15,,3,13,52,8,8,16,8к8+16,15,16,14,14,11,14,10,,2,2,450,,2,,,,,,
21202,bandit-crime-lord,Преступный лорд бандитов,Bandit Crime Lord,neutral,MEDIUM,SMALL,false,,17,,9,19,169,26,8,52,26к8+52,10,20,14,18,14,15,20,,11,11,7200,,4,,,,,,
21203,bandit-deceiver,Бандит-обманщик,Bandit Deceiver,neutral,MEDIUM,SMALL,false,,16,,6,16,130,20,8,40,20к8+40,8,16,14,17,12,16,14,,7,7,2900,,3,,,,,,
21204,bandit,Бандит,Bandit,neutral,MEDIUM,SMALL,false,,12,,1,11,11,2,8,2,2к8+2,11,12,12,10,10,10,10,,1/8,0.125,25,,2,,,,,,
21205,banshee,Банши,Banshee,chaotic_evil,MEDIUM,,false,,12,,2,12,54,12,8,0,12к8,1,14,10,12,11,17,10,,4,4,1100,,2,,,,,,
21206,barbed-devil,Шипастый дьявол (Гаматула),Barbed Devil,lawful_evil,MEDIUM,,false,,15,,3,13,110,13,8,52,13к8+52,16,17,18,12,14,14,18,120,5,5,1800,,3,,,,,,
21207,barlgura,Барлгура,Barlgura,chaotic_evil,LARGE,,false,,15,,2,12,85,10,10,30,10к10+30,18,15,16,7,14,9,15,120,5,5,1800,,3,,,,,,
21208,basilisk,Василиск,Basilisk,unaligned,MEDIUM,,false,,15,,-1,9,52,8,8,16,8к8+16,16,8,15,2,8,7,9,,3,3,700,,2,,,,,,
21210,bearded-devil,Бородатый дьявол (Барбазу),Bearded Devil,lawful_evil,MEDIUM,,false,,13,,2,12,58,9,8,18,9к8+18,16,15,15,9,11,14,10,120,3,3,700,,2,,,,,,
21211,behir,Бехир,Behir,neutral_evil,HUGE,,false,,17,,3,13,168,16,12,64,16к12+64,23,16,18,7,14,12,16,,11,11,7200,,4,,,,,,
21212,beholder-zombie,Бехолдер-зомби,Beholder Zombie,neutral_evil,LARGE,,false,,15,,-1,9,93,11,10,33,11к10+33,14,8,16,3,8,5,9,,5,5,1800,,3,,,,,,
21213,beholder,Бехолдер,Beholder,lawful_evil,LARGE,,false,,18,,12,22,190,20,10,80,20к10+80,16,14,18,17,15,17,22,,13,13,10000,11500,5,3,4,"У этого существа есть 3 использования Легендарных действий (или 4 использования в его Логове); оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21214,berserker-commander,Предводитель берсерков,Berserker Commander,neutral,MEDIUM,SMALL,false,,16,,5,15,136,16,8,64,16к8+64,19,14,19,10,14,9,15,,8,8,3900,,3,,,,,,
21215,berserker,Берсерк,Berserker,neutral,MEDIUM,SMALL,false,,13,,1,11,67,9,8,27,9к8+27,16,12,17,9,11,9,10,,2,2,450,,2,,,,,,
21217,black-dragon-wyrmling,Вирмлинг чёрного дракона,Black Dragon Wyrmling,chaotic_evil,MEDIUM,,false,,17,,4,14,33,6,8,6,6к8+6,15,14,13,10,11,13,14,,2,2,450,,2,,,,,,
21218,black-pudding,Чёрная слизь,Black Pudding,unaligned,LARGE,,false,,7,,-3,7,68,8,10,24,8к10+24,16,5,16,1,6,1,8,,4,4,1100,,2,,,,,,
21219,blink-dog,Мерцающий пёс,Blink Dog,lawful_good,MEDIUM,,false,,13,,3,13,22,4,8,4,4к8+4,12,17,12,10,13,11,15,,1/4,0.25,50,,2,,,,,,
21220,blob-of-annihilation,Сгусток уничтожения,Blob of Annihilation,neutral_evil,GARGANTUAN,,false,,18,,16,26,448,23,20,207,23к20+207,27,14,28,10,16,10,13,,23,23,50000,,7,3,,"У этого существа есть 3 использования Легендарных действий; оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21221,blood-hawk,Кровавый ястреб,Blood Hawk,unaligned,SMALL,,false,,12,,2,12,7,2,6,0,2к6,6,14,10,3,14,5,16,,1/8,0.125,25,,2,,,,,,
21222,blue-dragon-wyrmling,Вирмлинг синего дракона,Blue Dragon Wyrmling,lawful_evil,MEDIUM,,false,,17,,2,12,65,10,8,20,10к8+20,17,10,15,12,11,15,14,,3,3,700,,2,,,,,,
21223,blue-slaad,Синий слаад,Blue Slaad,chaotic_neutral,LARGE,,false,,15,,2,12,133,14,10,56,14к10+56,20,15,18,7,7,9,11,60,7,7,2900,,3,,,,,,
21225,bone-devil,Костяной дьявол (Осилут),Bone Devil,lawful_evil,LARGE,,false,,16,,7,17,161,17,10,68,17к10+68,18,16,18,13,14,16,12,120,9,9,5000,,4,,,,,,
21226,bone-naga,Костяная нага,Bone Naga,neutral_evil,LARGE,,false,,15,,3,13,65,10,10,10,10к10+10,15,16,12,16,15,15,12,,4,4,1100,,2,,,,,,
21227,brass-dragon-wyrmling,Вирмлинг латунного дракона,Brass Dragon Wyrmling,chaotic_good,MEDIUM,,false,,15,,2,12,22,4,8,4,4к8+4,15,10,13,10,11,13,14,,1,1,200,,2,,,,,,
21228,brazen-gorgon,Бронзовая горгона,Brazen Gorgon,unaligned,LARGE,,false,,19,,2,12,161,17,10,68,17к10+68,18,14,19,2,14,7,20,,9,9,5000,,4,,,,,,
21229,bronze-dragon-wyrmling,Вирмлинг бронзового дракона,Bronze Dragon Wyrmling,lawful_good,MEDIUM,,false,,15,,2,12,39,6,8,12,6к8+12,17,10,15,12,11,15,14,,2,2,450,,2,,,,,,
21231,bugbear-stalker,Медвежатник-охотник,Bugbear Stalker,chaotic_evil,MEDIUM,,false,,15,,2,12,65,10,8,20,10к8+20,17,14,14,11,12,11,11,,3,3,700,,2,,,,,,
21232,bugbear-warrior,Медвежатник-воин,Bugbear Warrior,chaotic_evil,MEDIUM,,false,,14,,2,12,33,6,8,6,6к8+6,15,14,13,8,11,9,10,,1,1,200,,2,,,,,,
21233,bulette-pup,Щенок панцирницы,Bulette Pup,unaligned,MEDIUM,,false,,16,,-1,9,45,6,8,18,6к8+18,16,8,17,2,10,4,14,,2,2,450,,2,,,,,,
21234,bulette,Панцирница,Bulette,unaligned,LARGE,,false,,17,,0,10,94,9,10,45,9к10+45,19,11,21,2,10,5,16,,5,5,1800,,3,,,,,,
21235,bullywug-bog-sage,Болотный мудрец-жаболюд,Bullywug Bog Sage,neutral,MEDIUM,,false,,16,,3,13,52,8,8,16,8к8+16,8,16,14,10,16,12,13,,4,4,1100,,2,,,,,,
21236,bullywug-warrior,Жаболюд-воитель,Bullywug Warrior,neutral,MEDIUM,,false,,15,,2,12,11,2,8,2,2к8+2,12,14,13,7,10,7,10,,1/4,0.25,50,,2,,,,,,
21237,cambion,Камбион,Cambion,neutral_evil,MEDIUM,,false,,19,,4,14,105,14,8,42,14к8+42,18,18,16,14,12,16,14,,5,5,1800,,3,,,,,,
21239,carrion-crawler,Ползающий падальщик,Carrion Crawler,unaligned,LARGE,,false,,13,,1,11,51,6,10,18,6к10+18,14,13,16,1,12,5,15,,2,2,450,,2,,,,,,
21241,centaur-trooper,Кентавр-кавалерист,Centaur Trooper,neutral_good,LARGE,,false,,16,,2,12,45,6,10,12,6к10+12,18,14,14,9,13,11,13,,2,2,450,,2,,,,,,
21242,centaur-warden,Кентавр смотритель,Centaur Warden,neutral_good,LARGE,,false,,16,,2,12,105,14,10,28,14к10+28,18,14,14,9,18,11,17,,7,7,2900,,3,,,,,,
21243,chain-devil,Цепной дьявол (Китон),Chain Devil,lawful_evil,MEDIUM,,false,,15,,5,15,85,10,8,40,10к8+40,18,15,18,11,12,14,11,120,8,8,3900,,3,,,,,,
21244,chasme,Чазм,Chasme,chaotic_evil,LARGE,,false,,15,,5,15,78,12,10,12,12к10+12,15,15,12,11,14,10,15,120,6,6,2300,,3,,,,,,
21245,chimera,Химера,Chimera,chaotic_evil,LARGE,,false,,14,,0,10,114,12,10,48,12к10+48,19,11,19,3,14,10,18,,6,6,2300,,3,,,,,,
21246,chuul,Чууль,Chuul,chaotic_evil,LARGE,,false,,16,,0,10,76,9,10,27,9к10+27,19,10,16,5,11,5,14,,4,4,1100,,2,,,,,,
21247,clay-golem,Глиняный голем,Clay Golem,unaligned,LARGE,,false,,14,,3,13,123,13,10,52,13к10+52,20,9,18,3,8,1,9,,9,9,5000,,4,,,,,,
21248,cloaker,Плащевик,Cloaker,chaotic_neutral,LARGE,,false,,14,,5,15,91,14,10,14,14к10+14,17,15,12,13,14,7,12,,8,8,3900,,3,,,,,,
21249,cloud-giant,Облачный великан,Cloud Giant,neutral,HUGE,,false,,14,,4,14,200,16,12,96,16к12+96,27,10,22,12,16,16,21,,9,9,5000,,4,,,,,,
21250,cockatrice-regent,Королевский куролиск,Cockatrice Regent,unaligned,LARGE,,false,,15,,2,12,136,16,10,48,16к10+48,19,14,16,3,16,5,13,,8,8,3900,,3,,,,,,
21251,cockatrice,Куролиск,Cockatrice,unaligned,SMALL,,false,,11,,1,11,22,5,6,5,5к6+5,6,12,12,2,13,5,11,,1/2,0.5,100,,2,,,,,,
21252,colossus,Колосс,Colossus,unaligned,GARGANTUAN,,false,,23,,16,26,553,27,20,270,27к20+270,30,11,30,3,11,8,10,,25,25,75000,,8,3,,"У этого существа есть 3 использования Легендарных действий; оно может немедленно после окончания хода другого существа потратить одно использование, чтобы совершить одно из следующих действий. Существо восполняет все потраченные использования в начале каждого своего хода.",,,
21253,commoner,Обыватель,Commoner,neutral,MEDIUM,SMALL,false,,10,,0,10,4,1,8,0,1к8,10,10,10,10,10,10,10,,0,0,10,,2,,,,,,
21255,copper-dragon-wyrmling,Вирмлинг медного дракона,Copper Dragon Wyrmling,chaotic_good,MEDIUM,,false,,16,,3,13,22,4,8,4,4к8+4,15,12,13,14,11,13,14,,1,1,200,,2,,,,,,
21256,couatl,Коатль,Couatl,lawful_good,MEDIUM,,false,,19,,5,15,60,8,8,24,8к8+24,16,20,17,18,20,18,15,120,4,4,1100,,2,,,,,,
21257,crab,Краб,Crab,unaligned,TINY,,false,,11,,0,10,3,1,4,1,1к4+1,6,11,12,1,8,2,9,,0,0,10,,2,,,,,,
21258,crawling-claw,Ползающая рука,Crawling Claw,neutral_evil,TINY,,false,,12,,2,12,2,1,4,0,1к4,13,14,11,5,10,4,10,,0,0,10,,2,,,,,,
